node_id,entity_type,degree,betweenness,is_articulation_point
id-182,move,1118,0.02317865970417038,False
id-156,move,1118,0.02317865970417038,False
id-173,move,1118,0.023173022666037473,False
id-214,move,1115,0.023050998840452665,False
id-496,move,1117,0.023010444540045173,False
id-263,move,1113,0.022806285079176723,False
rec-164-dup-0,move,852,0.013321992868565818,False
rec-203-dup-0,move,851,0.013259227684553397,False
id-164,move,739,0.01076144741891131,False
id-203,move,742,0.010758780344548812,False
rec-213-dup-0,move,696,0.009015454599063675,False
id-240,move,709,0.00835718585792236,False
id-213,move,608,0.00744350654219759,False
id-416,move,635,0.00736765473153929,False
id-34,ability,53,0.005637243095965628,False
id-91,item,19,0.005293537017793351,True
id-125,ability,44,0.005176736870228698,True
id-82,ability,50,0.0051485860996725065,False
id-26,ability,70,0.004894979110317114,True
id-67,ability,38,0.0047595706053331225,False
rec-241-dup-0,move,488,0.0043138000278715016,False
rec-63-dup-0,move,476,0.004286909363072792,False
id-302,pokemon,112,0.004255129386362416,True
id-5,ability,43,0.004195703251025136,False
id-764,pokemon,90,0.0035906948256084234,True
id-779,pokemon,10,0.0034514202992508326,True
id-241,move,423,0.003437823739156029,False
id-151,pokemon,336,0.003306569356524933,False
id-385,pokemon,107,0.0033019807603655053,True
id-63,move,406,0.0032494060198237727,False
id-33,ability,67,0.003237133261638867,True
rec-51-dup-0,ability,52,0.0030096859174414048,False
id-33,move,298,0.0029961682581159245,False
id-241,pokemon,112,0.0029757542993705645,True
id-168,move,430,0.0029501605182942836,False
id-68,ability,40,0.002901313940876358,False
id-371,move,408,0.00287822460008088,False
id-65,ability,33,0.002671988637762811,False
id-10108,pokemon,96,0.002662929901589591,True
rec-34-dup-0,move,403,0.002606746200314188,False
id-133,item,23,0.002606683296039779,False
id-617,pokemon,79,0.00253225715350655,True
id-784,pokemon,115,0.002522632283673944,True
id-815,pokemon,101,0.0024769246888506433,True
rec-129-dup-0,move,372,0.0024494773062567884,False
id-247,move,391,0.0024115286370357866,False
id-317,move,410,0.0023884107377983767,False
id-51,ability,41,0.0023348221602152996,False
id-48,ability,22,0.0023125148645176934,False
rec-15-dup-0,ability,28,0.0023112856347933864,False
